
2024/09/24 (20:20:21) | ===> btop++ v.1.4.0
2024/09/24 (20:20:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/25 (07:44:35) | ===> btop++ v.1.4.0
2024/09/25 (07:44:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/25 (07:50:59) | ===> btop++ v.1.4.0
2024/09/25 (07:50:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/25 (13:45:15) | ===> btop++ v.1.4.0
2024/09/25 (13:45:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/25 (13:47:05) | ===> btop++ v.1.4.0
2024/09/25 (13:47:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (21:30:34) | ===> btop++ v.1.4.0
2024/09/30 (21:30:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (14:04:23) | ===> btop++ v.1.4.0
2024/10/01 (14:04:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (20:31:33) | ===> btop++ v.1.4.0
2024/10/04 (20:31:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (10:48:12) | ===> btop++ v.1.4.0
2024/10/05 (10:48:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (18:06:49) | ===> btop++ v.1.4.0
2024/10/06 (18:06:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (18:07:24) | ===> btop++ v.1.4.0
2024/10/06 (18:07:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (18:14:44) | ===> btop++ v.1.4.0
2024/10/06 (18:14:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (18:16:22) | ===> btop++ v.1.4.0
2024/10/06 (18:16:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (18:19:57) | ===> btop++ v.1.4.0
2024/10/06 (18:19:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (18:20:34) | ===> btop++ v.1.4.0
2024/10/06 (18:20:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (18:21:04) | ===> btop++ v.1.4.0
2024/10/15 (18:21:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (09:55:27) | ===> btop++ v.1.4.0
2024/10/16 (09:55:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (05:45:21) | ===> btop++ v.1.4.0
2024/10/19 (05:45:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (11:39:56) | ===> btop++ v.1.4.0
2024/10/19 (11:39:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (05:36:33) | ===> btop++ v.1.4.0
2024/10/23 (05:36:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (10:59:24) | ===> btop++ v.1.4.0
2024/10/23 (10:59:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (12:12:46) | ===> btop++ v.1.4.0
2024/10/23 (12:12:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/24 (09:21:37) | ===> btop++ v.1.4.0
2024/10/24 (09:21:37) | WARNING: Intel GPU: Failed to initialize PMU
